model,group,variable,horizon_quarters,rmse,baseline_rmse,relative_rmse_pct
mango_rmse,+1 month,GDP,5,0.8082014511025281,0.8455366816443673,-4.415566036618443
mango_rmse,+1 month,GDP,6,0.7765472446429151,0.8372690226240509,-7.252361706973238
mango_rmse,+1 month,GDP,7,0.7670660791587189,0.8103422421629907,-5.340479707531678
mango_rmse,+1 month,GDP,8,0.7976029407340164,0.8034215112459515,-0.7242238887668877
mango_rmse,+1 month,GOV,1,0.8234991152676858,0.8256718445405571,-0.2631468285176025
mango_rmse,+1 month,GOV,2,0.766681964675654,0.7774324246159132,-1.3828159978753733
mango_rmse,+1 month,GOV,3,0.7569098112181831,0.7471280777008346,1.3092445337418273
mango_rmse,+1 month,GOV,4,0.7550247452632922,0.7432287195478422,1.5871326558298722
mango_rmse,+1 month,GOV,5,0.7241332765679543,0.7096137742089624,2.0461133769813635
mango_rmse,+1 month,GOV,6,0.7577042907984015,0.7574140520634319,0.03831969240323475
mango_rmse,+1 month,GOV,7,0.7485742523764055,0.7598454870922362,-1.4833587758694549
mango_rmse,+1 month,GOV,8,0.7566250126001852,0.7518869072530638,0.6301619700270519
mango_rmse,+1 month,HRS,1,0.5635938828913284,0.4110908403252767,37.097163839842125
mango_rmse,+1 month,HRS,2,0.909177182351254,0.8366375540945098,8.670376784036861
mango_rmse,+1 month,HRS,3,0.9434498643321587,1.000241924155253,-5.6778323775078245
mango_rmse,+1 month,HRS,4,0.934373076542329,1.00845677765215,-7.346244554208837
mango_rmse,+1 month,HRS,5,0.9115146648625446,0.9674106910171844,-5.7779003967661176
mango_rmse,+1 month,HRS,6,0.8788349625130732,0.9189294623313258,-4.363174918402627
mango_rmse,+1 month,HRS,7,0.8542161709127695,0.8814624845769676,-3.0910349720980173
mango_rmse,+1 month,HRS,8,0.8505965049994374,0.8680302082905458,-2.0084212651356252
mango_rmse,+1 month,INVFIX,1,2.0706298808903174,1.622622996506686,27.610041602278333
mango_rmse,+1 month,INVFIX,2,2.785128238436339,2.680671138839692,3.896677144883218
mango_rmse,+1 month,INVFIX,3,2.8138667366779666,2.893026571716055,-2.736229103873492
mango_rmse,+1 month,INVFIX,4,2.755267663181295,2.8656434708446024,-3.851693652273349
mango_rmse,+1 month,INVFIX,5,2.6491500655562095,2.7425393428767335,-3.405211945749707
mango_rmse,+1 month,INVFIX,6,2.5574963509217405,2.656369109217939,-3.7221016444249897
mango_rmse,+1 month,INVFIX,7,2.4389431393191114,2.5867190732778473,-5.712871393161248
mango_rmse,+1 month,INVFIX,8,2.5905111534955396,2.585402201468275,0.19760763042450588
mango_rmse,+1 month,IP,1,1.1640820292928937,1.0288569329812276,13.143236146529755
mango_rmse,+1 month,IP,2,1.682785808880623,1.5625448250368357,7.695202205860088
mango_rmse,+1 month,IP,3,1.665656523336599,1.7291661903578266,-3.6728492249831226
mango_rmse,+1 month,IP,4,1.6277397300176526,1.6999496736816748,-4.24776949470705
mango_rmse,+1 month,IP,5,1.5838569332075834,1.65433821041614,-4.260391059384851
mango_rmse,+1 month,IP,6,1.5501885030581917,1.6060541802900539,-3.4784428768008837
mango_rmse,+1 month,IP,7,1.5262468531470403,1.5955506288647643,-4.343564814802125
mango_rmse,+1 month,IP,8,1.5590930161046417,1.5737916852936638,-0.9339653606239098
mango_rmse,+1 month,PCE,1,0.5191719113899703,0.48747877371857673,6.501439525178209
mango_rmse,+1 month,PCE,2,0.7244049307771886,0.7292276558911808,-0.6613469847215792
mango_rmse,+1 month,PCE,3,0.7224639281025678,0.7378323399901668,-2.082913834842736
mango_rmse,+1 month,PCE,4,0.7117648712231509,0.7207237668409904,-1.2430415132703712
