forecast_origin,group,strategy,lambda1_1,lambda2_1,lambda3_1,lambda4_1,lambda5_1
2003-01-31,+0 months,mango_rmse,0.5861021659732643,5.377660707759155,1.0,6.7365811014497705,8.32056046776189
2003-02-28,+1 month,mango_rmse,15.547890728630046,4.2894898300786295,1.0,0.3556022253565772,1.4893724740815264
2003-03-31,+2 months,mango_rmse,7.755298565760147,5.320878807029777,1.0,1.5883166797938397,8.218985476319881
2003-04-30,+0 months,mango_rmse,4.120338473061715,7.92033745331532,1.0,0.9857418363175886,7.388353036229629
2003-05-31,+1 month,mango_rmse,10.278339523200222,2.4675063606991623,1.0,8.470739515523316,6.407562338963779
2003-06-30,+2 months,mango_rmse,16.41690773134822,7.049123352730587,1.0,5.597210330982232,1.7940150828213914
2003-07-31,+0 months,mango_rmse,12.840838707677438,7.572843207645536,1.0,0.4632763202133064,4.147269719631386
2003-08-31,+1 month,mango_rmse,8.200506517255217,4.11150906202845,1.0,2.1243518258169325,9.767560479580483
2003-09-30,+2 months,mango_rmse,14.81003226224155,5.759891924325031,1.0,1.4263769738964087,8.457762676528471
2003-10-31,+0 months,mango_rmse,3.9531059177123162,3.62778131863967,1.0,9.59760105041808,6.8615428987979525
2003-11-30,+1 month,mango_rmse,4.768695801042378,1.6945254533999279,1.0,1.7730121384206667,6.306974433919741
2003-12-31,+2 months,mango_rmse,17.67375742609666,5.737431782246411,1.0,5.2172540507809195,5.425319950222294
2004-01-31,+0 months,mango_rmse,1.8661040972418046,9.716994722088023,1.0,2.0791123487276493,5.953000191995633
2004-02-29,+1 month,mango_rmse,11.175708971101226,6.178445095479895,1.0,9.669843705446802,8.946488655248485
2004-03-31,+2 months,mango_rmse,18.441048799139562,4.5164921703539935,1.0,9.562342245413719,9.32825274354173
2004-04-30,+0 months,mango_rmse,2.73301242319316,5.773132289772723,1.0,7.36062136958302,1.3418398941118475
2004-05-31,+1 month,mango_rmse,4.146839908630062,3.485796338493098,1.0,9.864740487438869,2.819358770657187
2004-06-30,+2 months,mango_rmse,0.47233930309523653,1.395615272602514,1.0,2.1046608320476783,5.242434773922975
2004-07-31,+0 months,mango_rmse,11.142729536649519,4.747338045366508,1.0,1.6235105760533872,1.7506414911350208
2004-08-31,+1 month,mango_rmse,16.171870400474397,1.712431846544688,1.0,2.6369863720284883,1.4561319078643384
2004-09-30,+2 months,mango_rmse,11.30984272949413,3.3856058148842187,1.0,5.842130121389147,1.5721321360270535
2004-10-31,+0 months,mango_rmse,9.492361869499177,9.931839624989818,1.0,1.224526331227288,3.7219255755066563
2004-11-30,+1 month,mango_rmse,19.49188505776888,0.6512326597117305,1.0,6.769729591917377,9.746911459772964
2004-12-31,+2 months,mango_rmse,4.10226056821669,6.999709684671954,1.0,5.30079984760439,9.363088750830856
