forecast_origin,strategy,model_size,last_quarter,n_obs,lambda,theta,miu
2011-12-31,mango_rmse_random,small,2011Q3,229,0.0515400802219971,7.714679790967297,22.280648548571985
2012-03-31,mango_rmse_random,small,2011Q4,230,4.993142777260128,44.34964654846628,3.673389790625081
2012-06-30,mango_rmse_random,small,2012Q1,231,0.025975562321378938,32.85806305445502,3.341734885633332
2012-09-30,mango_rmse_random,small,2012Q2,232,0.17201506580385947,30.92715440171385,18.609071536815183
2012-12-31,mango_rmse_random,small,2012Q3,233,0.11311641216747964,26.121398264061927,0.03128379092538645
2013-03-31,mango_rmse_random,small,2012Q4,234,1.2523961761860818,16.512145981598945,14.823033860731668
2013-06-30,mango_rmse_random,small,2013Q1,235,4.979076416744516,21.355776814668115,1.8551661845621266
2013-09-30,mango_rmse_random,small,2013Q2,236,0.724946325273337,0.004456937115972574,20.23593471922497
2013-12-31,mango_rmse_random,small,2013Q3,237,4.733359268468091,0.014230434685972675,0.23545159775889252
2014-03-31,mango_rmse_random,small,2013Q4,238,0.05930460520009019,1.5304400574539674,3.1224577494593944
2014-06-30,mango_rmse_random,small,2014Q1,239,0.03867750564706828,15.944674959587791,40.002728640055125
2014-09-30,mango_rmse_random,small,2014Q2,240,4.9374305132614875,25.947710146180004,0.019667339486791648
2014-12-31,mango_rmse_random,small,2014Q3,241,0.1406068137820934,39.42138330539216,25.177612062360197
2015-03-31,mango_rmse_random,small,2014Q4,242,0.03508019784792287,4.0887400588973755,45.980309351469494
2015-06-30,mango_rmse_random,small,2015Q1,243,1.1342280408642782,0.07278448779098633,0.019546185082619058
2015-09-30,mango_rmse_random,small,2015Q2,244,0.011701895283965027,49.812938950961055,24.94430038328891
2015-12-31,mango_rmse_random,small,2015Q3,245,4.98496402421565,15.013740892966672,0.028550131428383568
2016-03-31,mango_rmse_random,small,2015Q4,246,0.035176822249727235,0.04201548704343157,26.945852253910513
2016-06-30,mango_rmse_random,small,2016Q1,247,0.023738962435400905,39.44702841523707,42.69340064616264
2016-09-30,mango_rmse_random,small,2016Q2,248,0.023235701437766244,48.172462165156034,38.154258413834235
2016-12-31,mango_rmse_random,small,2016Q3,249,4.0261426077715505,4.303796995351874,15.523712890187769
2017-03-31,mango_rmse_random,small,2016Q4,250,4.21367627278323,23.479136999248535,47.74366571214588
2017-06-30,mango_rmse_random,small,2017Q1,251,4.580887783876969,0.02155275161233422,49.997960743788475
2017-09-30,mango_rmse_random,small,2017Q2,252,0.25465146034538466,2.958202806577338,20.535158439039805
2017-12-31,mango_rmse_random,small,2017Q3,253,4.187468443320332,0.0016101339300095576,3.6753886296243925
2018-03-31,mango_rmse_random,small,2017Q4,254,3.0203218076847107,1.703398444565462,0.0065461710459621975
2018-06-30,mango_rmse_random,small,2018Q1,255,2.916360118634236,1.0842071230557717,49.940499193354206
2018-09-30,mango_rmse_random,small,2018Q2,256,1.5133232592630295,44.58368685144071,0.02549881229645197
2018-12-31,mango_rmse_random,small,2018Q3,257,4.358215812527729,17.090861509701053,0.008787509924645415
2019-03-31,mango_rmse_random,small,2018Q4,258,0.17126027224814036,42.335347047396155,8.901028622266779
2019-06-30,mango_rmse_random,small,2019Q1,259,4.980182531917491,0.06682006576656707,43.38823359206452
2019-09-30,mango_rmse_random,small,2019Q2,260,0.31489058007219456,22.587436850312155,0.36066363144259134
2019-12-31,mango_rmse_random,small,2019Q3,261,1.100057267029635,8.151932149642365,29.85274326467331
